"district","village"
"Chanthabuly","saiynamngern"
"Xaythany","saiynamngern"
"Xaythany","Saiynamngern"
"Xaythany","saiynangern"
"Xaythany","saiyngarmngern"
"Xaysetha","sakhae"
"Hadxaifong","salakham"
"Hadxaifong","Salakham"
"Hadxaifong","Salakhamneua"
"Hadxaifong","salakhamtai"
"Hadxaifong","Salakhamtai"
"Xaysetha","Samkay"
"Xaysetha","samke"
"Sikhottabong","Samked"
"Sikhottabong","samket"
"Xaythany","samket"
"Sikhottabong","Samket"
"Xaythany","samkhae"
"Xaysetha","Samkhay"
"Xaysetha","samkhe"
"Xaythany","samkhe"
"Sikhottabong","samkhet"
"Xaythany","samphoun"
"Sangthong","samuad"
"Xaysetha","sanamma"
"Xaythany","sangcom"
"Xaythany","sanghouabor"
"Xaythany","sanghuabor"
"Sikhottabong","sangjeing"
"Xaythany","sangkhou"
"Xaythany","Sangkhou"
"Xaythany","Sangkou"
"Pakngeum district","sangsai"
"Pakngeum district","Sangsai"
"Sisattanak","sangvery"
"Sisattanak","sangvoey"
"Sisattanak","sangwery"
"Sisattanak","Sangwery"
"Sangthong","sanod"
"Xaythany","saphangmeuk"
"Xaysetha","saphangmor"
"Xaysetha","Saphangmor"
"Xaysetha","saphangmor temple"
"Xaythany","saphangmuek"
"Sisattanak","saphangthong"
"Sisattanak","saphanthong"
"Sisattanak","Saphanthong"
"Sisattanak","saphanthong nuea"
"Sisattanak","saphanthong tai"
"Sisattanak","saphanthong temple"
"Sisattanak","saphanthongnuea"
"Sisattanak","saphanthongtai"
"Sisattanak","Saphanthongtai"
"Sisattanak","sapharnthong"
"Sisattanak","sapharpthong"
"Sisattanak","saphathongtai"
"Sisattanak","Saphathongtai"
"Xaythany","saphungmuek"
"Xaythany","Saphungmuek"
"Xaythany","sarmsaard"
"Xaythany","Sarmsaard"
"Xaythany","Sarnghuabor"
"Chanthabuly","savang"
"Xaysetha","Savang"
"Chanthabuly","savang temple"
"Chanthabuly","savarng"
"Chanthabuly","Saylom"
"Sisattanak","Saysatan"
"Xaysetha","saysavang"
"Xaythany","Saysavang"
"Xaythany","sengoudom"
"Xaysetha","sengsavag"
"Xaysetha","sengsavan"
"Xaysetha","sengsavang"
"Xaythany","sengsavang"
"Xaysetha","Sengsavang"
"Xaysetha","sengsavng"
"Xaysetha","sensavang"
"Sikhottabong","sibounghueang"
"Sikhottabong","Sibounghueang"
"Sikhottabong","Sibounhaeug"
"Chanthabuly","sibounheuang"
"Xaythany","sibounheuang"
"Sikhottabong","Sibounheuang thong"
"Chanthabuly","sibounhueang"
"Sikhottabong","sibounhueang"
"Chanthabuly","Sibounhueang"
"Sikhottabong","sibounhueangtha"
"Chanthabuly","Sibounhueng"
"Chanthabuly","sidamduan"
"Chanthabuly","Sidamduan"
